,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Bluff,100,NZ,1622314979,87,-46.6,168.3333,49.8,19.77
1,Bambous Virieux,15,MU,1622314979,85,-20.3428,57.7575,74.21,4.83
2,Saint George,1,US,1622314980,12,37.1041,-113.5841,90.43,1.99
3,Shubarkuduk,0,KZ,1622314980,54,49.1447,56.4872,71.11,16.55
4,Rikitea,100,PF,1622314716,86,-23.1203,-134.9692,77.05,19.75
5,Puerto Ayora,59,EC,1622314980,85,-0.7393,-90.3518,77.56,5.99
6,Ürümqi,0,CN,1622314684,43,43.801,87.6005,68.95,3.58
7,Barão de Melgaço,9,BR,1622314981,19,-16.1944,-55.9675,93.72,8.14
8,Mar del Plata,13,AR,1622314981,49,-38.0023,-57.5575,49.23,11.99
9,Ushuaia,100,AR,1622314803,91,-54.8,-68.3,29.1,9.28
10,Port Lincoln,0,AU,1622314982,64,-34.7333,135.8667,56.1,17.58
11,Naze,100,JP,1622314982,91,28.3667,129.4833,64.2,5.32
12,Pathein,100,MM,1622314982,87,16.7833,94.7333,78.57,1.59
13,Zigong,98,CN,1622314983,88,29.3416,104.7769,68.47,4.0
14,Chokurdakh,9,RU,1622314810,49,70.6333,147.9167,49.46,10.02
15,Atuona,3,PF,1622314965,71,-9.8,-139.0333,78.71,10.58
16,Chimbote,100,PE,1622314925,86,-9.0853,-78.5783,67.37,8.63
17,Hermanus,22,ZA,1622314793,82,-34.4187,19.2345,58.89,4.7
18,Busselton,91,AU,1622314983,93,-33.65,115.3333,54.09,11.03
19,Gonder,91,ET,1622314984,22,12.6,37.4667,71.08,17.65
20,Saint-Philippe,22,RE,1622314984,80,-21.3585,55.7679,69.39,5.23
21,Hobart,90,AU,1622314984,77,-42.8794,147.3294,46.26,6.8
22,Arraial do Cabo,0,BR,1622314985,74,-22.9661,-42.0278,79.84,7.58
23,Qaanaaq,49,GL,1622314985,95,77.484,-69.3632,31.69,5.77
24,Guaraniaçu,53,BR,1622314985,57,-25.1008,-52.8781,74.93,5.39
25,Oksovskiy,10,RU,1622314986,75,62.6062,39.8984,36.54,6.82
26,Kinna,2,SE,1622314986,70,57.5073,12.6946,65.39,4.99
27,Hobyo,96,SO,1622314986,81,5.3505,48.5268,79.7,21.77
28,Duki,0,PK,1622314987,12,30.1541,68.5728,85.86,5.03
29,Eureka,29,US,1622314959,82,40.8021,-124.1637,54.25,4.0
30,Tromsø,75,NO,1622314987,87,69.6496,18.957,47.05,1.99
31,Muros,100,ES,1622314704,59,42.7762,-9.0603,68.5,9.95
32,Alice Springs,0,AU,1622314987,75,-23.7,133.8833,38.75,6.06
33,Pīshvā,0,IR,1622314988,13,35.308,51.7267,85.21,2.26
34,Clyde River,98,CA,1622314988,82,70.4692,-68.5914,32.65,3.56
35,Kapaa,8,US,1622314988,75,22.0752,-159.319,80.11,1.99
36,Airai,73,TL,1622314989,91,-8.9266,125.4092,55.76,1.99
37,Sitka,100,US,1622314989,82,57.0531,-135.33,48.99,5.68
38,Cockburn Town,4,TC,1622314970,76,21.4612,-71.1419,79.74,13.22
39,San Miguel,100,SV,1622314901,29,13.4833,-88.1833,100.63,2.04
40,Sola,100,VU,1622314989,69,-13.8833,167.55,78.64,13.24
41,Faanui,54,PF,1622314990,68,-16.4833,-151.75,79.43,5.01
42,Bexbach,0,DE,1622314990,48,49.3461,7.2553,63.37,5.57
43,Punta Arenas,75,CL,1622314727,56,-53.15,-70.9167,37.51,19.13
44,Sur,13,OM,1622314988,52,22.5667,59.5289,89.08,11.77
45,New Norfolk,32,AU,1622314991,76,-42.7826,147.0587,45.9,3.4
46,Thompson,90,CA,1622314991,58,55.7435,-97.8558,57.36,14.97
47,Alofi,62,NU,1622314991,81,-19.0595,-169.9187,78.42,13.73
48,Bodden Town,75,KY,1622314992,58,19.2833,-81.25,84.2,4.0
49,Ust-Tsilma,71,RU,1622314992,80,65.441,52.1498,36.54,4.88
50,Hong Kong,92,HK,1622314863,88,22.2855,114.1577,86.97,1.99
51,East London,23,ZA,1622314992,60,-33.0153,27.9116,64.06,17.4
52,Dikson,14,RU,1622314993,96,73.5069,80.5464,20.28,2.55
53,Saint-Augustin,99,CA,1622314993,39,51.226,-58.6502,55.35,11.41
54,Alta Floresta,2,BR,1622314993,50,-9.8756,-56.0861,86.11,3.4
55,Laguna,1,US,1622314994,48,38.421,-121.4238,83.21,4.0
56,Tapejara,78,BR,1622314994,83,-28.0681,-52.0139,61.48,9.46
57,Necochea,61,AR,1622314994,52,-38.5473,-58.7368,50.04,22.08
58,Jijiga,8,ET,1622314995,76,9.35,42.8,64.24,6.98
59,Nikolskoye,0,RU,1622314995,67,59.7035,30.7861,51.69,4.18
60,Rongcheng,100,CN,1622314789,95,30.634,117.8517,69.24,3.74
61,Vaini,100,TO,1622314995,85,-21.2,-175.2,75.79,13.6
62,Hailey,1,US,1622314996,35,43.5196,-114.3153,65.89,6.91
63,Talnakh,99,RU,1622314996,98,69.4865,88.3972,28.4,4.59
64,Rognan,62,NO,1622314996,79,67.0953,15.3878,47.75,4.07
65,North Platte,100,US,1622314817,85,41.1239,-100.7654,56.37,1.01
66,Waupun,0,US,1622314997,45,43.6333,-88.7296,63.57,7.23
67,Marawi,100,PH,1622314997,93,7.9986,124.2928,73.65,1.52
68,Barrow,90,US,1622314965,86,71.2906,-156.7887,28.42,11.5
69,Mataura,100,NZ,1622314997,96,-46.1927,168.8643,49.48,4.88
70,Ribeira Grande,75,PT,1622314998,68,38.5167,-28.7,68.4,2.3
71,Hauterive,39,FR,1622314998,85,46.0901,3.4459,70.56,3.91
72,Meulaboh,100,ID,1622314998,86,4.1363,96.1285,77.43,3.15
73,Albany,100,US,1622314937,79,42.6001,-73.9662,51.15,6.17
74,Balakhninskiy,100,RU,1622314999,97,58.0106,114.2769,41.49,4.59
75,Tasiilaq,100,GL,1622314999,97,65.6145,-37.6368,39.36,13.6
76,Bredasdorp,5,ZA,1622314999,90,-34.5322,20.0403,54.28,5.95
77,Tiksi,74,RU,1622315000,97,71.6872,128.8694,30.63,8.81
78,Avarua,17,CK,1622315000,64,-21.2078,-159.775,75.25,2.3
79,Ulaangom,97,MN,1622315000,37,49.9811,92.0667,49.91,7.83
80,Haines Junction,89,CA,1622315001,62,60.7522,-137.5108,48.25,10.6
81,Viramgam,75,IN,1622315001,58,23.1225,72.0484,88.03,14.27
82,‘Ewa Beach,15,US,1622315001,58,21.3156,-158.0072,83.01,4.0
83,Upernavik,100,GL,1622314815,92,72.7868,-56.1549,31.46,17.31
84,Mount Gambier,75,AU,1622315002,93,-37.8333,140.7667,33.71,0.0
85,Port Hardy,100,CA,1622315002,68,50.6996,-127.4199,53.33,4.43
86,Iqaluit,6,CA,1622314814,55,63.7506,-68.5145,37.81,18.41
87,Ţahţā,1,EG,1622315002,23,26.7693,31.5021,88.02,11.39
88,San Policarpo,76,PH,1622315003,87,12.1791,125.5072,79.45,3.87
89,Lebu,100,CL,1622315003,63,-37.6167,-73.65,53.46,7.02
90,Jamestown,100,US,1622314841,80,42.097,-79.2353,51.08,3.0
91,Rosignano Marittimo,100,IT,1622315003,75,43.4079,10.4729,68.76,2.17
92,Ginir,87,ET,1622315004,88,7.1333,40.7,58.62,3.06
93,Bengkulu,100,ID,1622314814,86,-3.8004,102.2655,75.33,2.57
94,Skagen,0,DK,1622315004,69,57.7209,10.5839,60.28,8.75
95,Pacific Grove,90,US,1622315004,85,36.6177,-121.9166,73.17,4.0
96,Nombre de Dios,26,MX,1622315005,13,23.85,-104.2333,85.8,1.01
97,Grand Gaube,10,MU,1622315005,90,-20.0064,57.6608,74.37,3.0
98,Velventós,29,GR,1622315006,42,40.2517,22.0631,68.88,4.47
99,Butaritari,100,KI,1622314986,78,3.0707,172.7902,82.69,15.79
100,Mahébourg,10,MU,1622315006,85,-20.4081,57.7,74.25,5.41
101,Aksarka,0,RU,1622315006,72,66.5606,67.7975,41.95,11.18
102,Tuktoyaktuk,90,CA,1622315007,93,69.4541,-133.0374,28.4,5.75
103,Nicoya,93,CR,1622314820,66,10.1483,-85.452,83.44,5.66
104,Half Moon Bay,90,US,1622314811,78,37.4636,-122.4286,73.11,6.91
105,Pangnirtung,25,CA,1622315007,80,66.1451,-65.7125,32.31,5.82
106,Cidreira,0,BR,1622314786,65,-30.1811,-50.2056,65.86,11.18
107,Beroroha,0,MG,1622315008,65,-21.6667,45.1667,64.8,1.86
108,Deputatsky,43,RU,1622315008,56,69.3,139.9,43.81,8.93
109,Hokitika,100,NZ,1622315008,87,-42.7167,170.9667,48.22,12.17
110,Fort Nelson,75,CA,1622314838,31,58.8053,-122.7002,66.0,5.03
